Site,Plot,Fires,Frame,Height,Corner,1_hour,10_hour,100_hour,1000_hour,Gram,Gram_POAA,Forb,Forb_CHAN,Forb_OXOX,Forb_ROCA,Forb_Cabbage,Forb_DAISY,Forb_VACC,Forb_CROW,Forb_MEPA,Forb_WHFL,Vasc_EQSC,Vasc_EQAR,Vasc_EQSY,Shrub_LEGR,Tree_POTR,Tree_PIME,Tree_BENE,Tree_SALIX,Tree_ALCR,Seed_PIME,Seed_POTR,Seed_BENE,Seed_SALIX,Seed_ALCR
Dalton,55_3,3,1,1-0.75,A,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,1,,,0,,,,
Dalton,55_3,3,1,1-0.75,B,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,1,,,0,,,,
Dalton,55_3,3,1,1-0.75,C,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,1,,,0,,,,
Dalton,55_3,3,1,1-0.75,D,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.75-0.5,A,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.75-0.5,B,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.75-0.5,C,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.75-0.5,D,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.5-0.25,A,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.5-0.25,B,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.5-0.25,C,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.5-0.25,D,0,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.25-0,A,1,0,0,0,1,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.25-0,B,1,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.25-0,C,1,0,0,0,0,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
Dalton,55_3,3,1,0.25-0,D,1,0,0,0,1,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,
